postcode,huisnummer,huisletter,toevoeging,straatnaam,woonplaats_naam
9461BH,1,,,Spiekersteeg,Gieten
1431EH,1,,,Raadhuisplein,Aalsmeer
7121DM,8,,,Hofstraat,Aalten
9285NH,18,,,Stationsstraat,Buitenpost
2951ED,2,,,Cortgene,Alblasserdam
3161KP,4,,,Stationsstraat,Rhoon
1815AG,10,,,Mallegatsplein,Alkmaar
7607EW,30,,,Haven Zuidzijde,Almelo
1315HR,1,,,Stadhuisplein,Almere
2405SH,1,,,Stadhuisplein,Alphen aan den rijn
5131AV,1,,,Willibrordplein,Alphen nb
4286ET,170,,,Sportlaan,Almkerk
9162EA,1,,,Jelmeraweg,Ballum
3811LM,1,,,Stadhuisplein,Amersfoort
1182JR,1,,,Laan Nieuwer-Amstel,Amstelveen
1011PN,1,,,Amstel,Amsterdam
7311LG,1,,,Marktplein,Apeldoorn
6811DG,38,,,Koningstraat,Arnhem
9401JW,33,,,Noordersingel,Assen
5721GJ,3,,,Koningsplein,Asten
5111CC,1,,,Singel,Baarle-nassau
3743EN,18,,,Stationsweg,Baarn
2991AA,1,,,Binnenhof,Barendrecht
3771ER,2,,,Raadhuisplein,Barneveld
6191KA,9,,,Raadhuisstraat,Beek lb
6361BZ,1,,,Deweverplein,Nuth
5953AL,1,,,Raadhuisplein,Reuver
6562AH,1,,,Dorpsplein,Groesbeek
5571HB,1,,,Burgemeester Magneestraat,Bergeijk
5854AX,2,,,Raadhuisstraat,Bergen l
1817MR,4,,,Jan Ligthartstraat,Alkmaar
4611AR,4,,,Jacob Obrechtlaan,Bergen op zoom
7271AX,1,,,Marktstraat,Borculo
5384BZ,6,,,De Misse,Heesch
5683GA,2,,,Dorpsplein,Best
6641AE,46,,,Van Heemstraweg,Beuningen gld
1948LC,48,,,Stationsplein,Beverwijk
5531BC,21,,,Markt,Bladel
1261JB,16,,,Kerklaan,Blaricum
2051GJ,158,,,Bloemendaalseweg,Overveen
2411BD,1,,,Raadhuisplein,Bodegraven
5427AB,2,,,Sint Agathaplein,Boekel
7875AD,50,,,Hoofdstraat,Exloo
7622DG,1,,,Rheineplein,Borne
4451KB,10,,,Stenevate,Heinkenszand
5281AT,1,,,Markt,Boxtel
4811DJ,10,,,Claudius Prinsenlaan,Breda
7255KA,2,,,Elderinkweg,Hengelo gld
6971BV,31,,,Engelenburgerlaan,Brummen
6444AT,1,,,Lindeplein,Brunssum
3984NC,1,,,Singelpark,Odijk
3752CL,1,,,Stadsspui,Bunschoten-spakenburg
4021VZ,1,,,De Wetering,Maurik
2903AR,111,,,Rivierweg,Capelle aan den ijssel
1902CA,1,,,Raadhuisplein,Castricum
7741GC,1,,,Kasteel,Coevorden
6021CA,1,,,Capucijnerplein,Budel
4101BK,250,,,Ridderstraat,Culemborg
7721AX,1,,,Raadhuisstraat,Dalfsen
9104BR,4,,,Hynsteblom,Damwald
3721AB,173,,,Soestdijkseweg Zuid,Bilthoven
8501AA,1,,,Herema State,Joure
3641AL,111,,,Croonstadtlaan,Mijdrecht
7921GD,2,,,Raadhuisstraat,Zuidwolde dr
2611BV,1,,,Stationsplein,Delft
2511BT,70,,,Spui,'s-gravenhage
1781AS,66,,,Willemsoord,Den helder
5751BE,1,,,Markt,Deurne
7411KT,1,,,Grote Kerkhof,Deventer
1111ZB,1,,,D.J. den Hartoglaan,Diemen
1703EZ,1,,,Parelhof,Heerhugowaard
7591MA,5,,,Nicolaasplein,Denekamp
6981BH,2,,,Philippus Gastelaarsstr,Doesburg
7001EW,2,,,Raadhuisstraat,Doetinchem
5104JJ,62,,,Hoge Ham,Dongen
3311GR,300,,,Spuiboulevard,Dordrecht
1616AV,1,,,Raadhuisplein,Hoogkarspel
4921BV,1,,,Park,Made
8251ER,1,,,De Rede,Dronten
6651DA,1,,,Heuvel,Druten
6921ES,1,,,Kon Willem-Alexanderpln,Duiven
6101CV,55,,,Nieuwe Markt,Echt
1132KN,1,,,W van der Knoopdreef,Volendam
6711DD,4,,,Bergstraat,Ede gld
3755AZ,1,,,Zuidersingel,Eemnes
9901CM,14,,,Wilhelminaweg,Appingedam
5521AW,15,,,Dijk,Eersel
6269DA,1,,,Amerikaplein,Margraten
5611EM,1,,,Stadhuisplein,Eindhoven
8081LA,19,,,Zuiderzeestraatweg Oost,Elburg
7811AP,1,,,Raadhuisplein,Emmen
1601KT,11,,,Hoogstraat,Enkhuizen
7514AD,51,,,Hengelosestraat,Enschede
8161EE,1,,,Marktplein,Epe
3851NT,2,,,Raadhuisplein,Ermelo
4875AA,4,,,Roosendaalseweg,Etten-leur
4941DX,2,,,Vrijheidstraat,Raamsdonksveer
5664GC,2,,,De Meent,Geldrop
5421CV,1,,,Ridderplein,Gemert
6591CP,1,,,Ellen Hoffmannplein,Gennep
5121JX,1,,,Raadhuisplein,Rijen
3241XB,45,,,Koningin Julianaweg,Middelharnis
4461GE,2,,,M.A. de Ruijterlaan,Goes
5051LT,1,,,Oranjeplein,Goirle
1404EP,35,,,Brinklaan,Bussum
4205AZ,1,,,Stadhuisplein,Gorinchem
2803PG,1,,,Burgemeester Jamesplein,Gouda
9712HN,1,,,Grote Markt,Groningen
6271DA,12,,,Willem Vliegenstraat,Gulpen
7481HS,3,,,Markt,Haaksbergen
2011VB,39,,,Zijlvest,Haarlem
2132LS,100,,,Taurusavenue,Hoofddorp
4731GJ,15,,,Parklaan,Oudenbosch
7772HZ,1,,,Stephanuspark,Hardenberg
3841AA,56,,,Havendam,Harderwijk
3371AS,1,,,Raadhuisplein,Hardinxveld-giessendam
8861BD,35,,,Voorstraat,Harlingen
8051EZ,1,,,Markt,Hattem
1964EZ,1,,,Maerten v Heemskerckpln,Heemskerk
2101HA,1,,,Raadhuisplein,Heemstede
8181ET,5,,,Eperweg,Heerde
8441ES,2,,,Crackstraat,Heerenveen
6411HP,25,,,Geleenstraat,Heerlen
5591HS,2,,,Jan Deckersstraat,Heeze
1852AR,252,,,Westerweg,Heiloo
7442MA,7,,,Willem-Alexanderstraat,Nijverdal
5707BX,1,,,Frans Joseph v Thielpark,Helmond
3342AE,1,,,Weteringsingel,Hendrik-ido-ambacht
7551EB,1,,,Burg van Dussenplein,Hengelo ov
5211HH,1,,,Wolvenhoek,'s-hertogenbosch
9981AA,1,,,Hoofdstraat-West,Uithuizen
6581AC,6,,,Kerkplein,Malden
5251ED,34,,,Julianastraat,Vlijmen
2181EC,115,,,Hoofdstraat,Hillegom
5081CA,10,,,Vrijthof,Hilvarenbeek
1217JE,1,,,Dudokpark,Hilversum
3262GM,6,,,W. van Vlietstraat,Oud-beijerland
7471DK,7,,,De Hofte,Goor
1761VM,1,,,De Verwachting,Anna paulowna
7901BP,1,,,Raadhuisplein,Hoogeveen
1625HV,1,,,Nieuwe Steen,Hoorn nh
5961ES,6,,,Wilhelminaplein,Horst
3995DW,25,,,Onderdoor,Houten
1276KB,10,,,Graaf Wichman,Huizen
4561EA,21,,,Grote Markt,Hulst
3401BK,1,,,Overtoom,Ijsselstein ut
2371AS,1,,,Westeinde,Roelofarendsveen
8261DD,1,,,Burg Berghuisplein,Kampen
4421AA,1,,,Kerkplein,Kapelle
2224EW,3,,,Koningin Julianalaan,Katwijk zh
6461EB,1,,,Markt,Kerkrade
1648JG,2,,,Middenhof,De goorn
2922AD,2,,,Raadhuisplein,Krimpen aan den ijssel
2821AS,8,,,Dorpsplein,Stolwijk
5741GA,37,,,Koppelstraat,Beek en donk
